Location,Location Name,Location - RegionId,Indicator,Indicator Name,Indicator - Reference Name,Measure,Measure Name,Measure - Units,Scale,Units,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0500000US53037,Kittitas County,US_WA037,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,335,414,387,303,371,396,360
0500000US53037,Kittitas County,US_WA037,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,305,291,239,280,250,197,174
0500000US53037,Kittitas County,US_WA037,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,873,734,757,699,651,529,512
0500000US53037,Kittitas County,US_WA037,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,23,22,52,282,317,254,113
0500000US53037,Kittitas County,US_WA037,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,2939,3060,3236,3268,3327,3381,3623,3702,3918,3719
0500000US53039,Klickitat County,US_WA039,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,18843,18976,19185,19522,20099,20156,20087
0500000US53039,Klickitat County,US_WA039,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,136,134,51,39,157,252,153
0500000US53039,Klickitat County,US_WA039,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,576,560,686,672,548,415,308
0500000US53039,Klickitat County,US_WA039,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,92,139,146,162,153,132,86
0500000US53039,Klickitat County,US_WA039,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,49,62,0,3,2,3,4
0500000US53039,Klickitat County,US_WA039,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,2145,2215,2316,2488,2516,2562,2581,2597,2629,2692
0500000US53041,Lewis County,US_WA041,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,68344,68756,68503,68834,69307,68783,69249
0500000US53041,Lewis County,US_WA041,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,511,536,440,395,337,384,452
0500000US53041,Lewis County,US_WA041,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,458,502,453,530,487,450,595
0500000US53041,Lewis County,US_WA041,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,850,877,957,863,975,833,867
0500000US53041,Lewis County,US_WA041,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,6,41,106,148,174,151,149
0500000US53041,Lewis County,US_WA041,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,6317,6492,6725,6944,7072,7284,7479,7706,8030,8479
0500000US53043,Lincoln County,US_WA043,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,9628,9610,9635,9681,9783,9920,9916
0500000US53043,Lincoln County,US_WA043,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,24,32,50,64,73,49,66
0500000US53043,Lincoln County,US_WA043,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,86,115,134,128,146,184,168
0500000US53043,Lincoln County,US_WA043,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,69,59,65,72,52,55,69
0500000US53043,Lincoln County,US_WA043,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,22,13,36,32,27,29,51
0500000US53043,Lincoln County,US_WA043,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,244,252,274,283,292,313,330,347,367,396
0500000US53045,Mason County,US_WA045,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,50321,50457,50865,51414,52406,53025,51971
0500000US53045,Mason County,US_WA045,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,874,1043,854,938,702,432,367
0500000US53045,Mason County,US_WA045,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,1845,2002,1845,1654,1500,1296,1077
0500000US53045,Mason County,US_WA045,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,935,881,902,842,701,644,572
0500000US53045,Mason County,US_WA045,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,125,136,169,286,277,392,289
0500000US53045,Mason County,US_WA045,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,4545,4702,4897,5155,5318,5542,5909,6222,6582,6849
0500000US53047,Okanogan County,US_WA047,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,30615,30443,30090,29941,29875,29673,28748
0500000US53047,Okanogan County,US_WA047,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,226,230,185,193,170,52,92
0500000US53047,Okanogan County,US_WA047,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,3900,3959,3952,3986,3920,4131,4012
0500000US53047,Okanogan County,US_WA047,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,355,358,376,362,358,249,223
0500000US53047,Okanogan County,US_WA047,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,76,81,72,45,105,42,45
0500000US53047,Okanogan County,US_WA047,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,7123,7352,7517,7686,7777,7926,8141,8331,8534,8673
0500000US53049,Pacific County,US_WA049,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,18286,18380,18737,18625,18713,18450,18987
0500000US53049,Pacific County,US_WA049,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,44,30,30,31,36,84,86
0500000US53049,Pacific County,US_WA049,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,330,377,322,302,518,651,491
0500000US53049,Pacific County,US_WA049,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,390,367,366,387,365,405,395
0500000US53049,Pacific County,US_WA049,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,40,44,58,125,85,75,32
0500000US53049,Pacific County,US_WA049,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,1658,1683,1703,1763,1818,1893,1976,2064,2088,2192
0500000US53051,Pend Oreille County,US_WA051,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,11771,11835,11672,11754,11864,11800,11431
0500000US53051,Pend Oreille County,US_WA051,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,20,25,25,25,38,22,33
0500000US53051,Pend Oreille County,US_WA051,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,507,473,488,495,521,434,376
0500000US53051,Pend Oreille County,US_WA051,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,27,79,92,136,130,118,59
0500000US53051,Pend Oreille County,US_WA051,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,33,40,30,35,3,3,44
0500000US53051,Pend Oreille County,US_WA051,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,396,413,437,452,451,463,480,509,532,564
0500000US53053,Pierce County,US_WA053,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,602020,607909,612720,620625,628350,626094,623195
0500000US53053,Pierce County,US_WA053,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,53436,53988,54842,55792,57363,59486,61275
0500000US53053,Pierce County,US_WA053,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,9247,9802,9960,10534,10833,9567,10445
0500000US53053,Pierce County,US_WA053,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,48824,48842,50634,52502,54332,56289,58028
0500000US53053,Pierce County,US_WA053,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,11143,11210,12000,12232,12583,13095,13524
0500000US53053,Pierce County,US_WA053,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,70710,73785,76786,80005,82167,85670,89470,93117,98198,103105
0500000US53055,San Juan County,US_WA055,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,14592,14650,14855,14950,15294,15253,15812
0500000US53055,San Juan County,US_WA055,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,104,110,93,131,134,141,150
0500000US53055,San Juan County,US_WA055,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,135,145,141,144,161,149,127
0500000US53055,San Juan County,US_WA055,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,220,221,212,220,208,231,205
0500000US53055,San Juan County,US_WA055,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,23,32,25,38,39,14,15
0500000US53055,San Juan County,US_WA055,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,842,878,892,921,926,971,1024,1079,1084,1154
0500000US53057,Skagit County,US_WA057,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,100653,100398,99785,100478,101794,102356,100703
0500000US53057,Skagit County,US_WA057,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,915,905,978,925,1035,953,849
0500000US53057,Skagit County,US_WA057,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,1680,1927,1983,2170,2321,2394,2274
0500000US53057,Skagit County,US_WA057,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,2182,2279,2050,2404,2337,2207,2418
0500000US53057,Skagit County,US_WA057,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,614,330,389,265,229,194,252
0500000US53057,Skagit County,US_WA057,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,19324,19724,20129,20536,20881,21496,22531,22721,23321,23876
0500000US53059,Skamania County,US_WA059,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,10471,10481,10605,10734,10845,10956,10866
0500000US53059,Skamania County,US_WA059,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,95,64,59,56,4,5,6
0500000US53059,Skamania County,US_WA059,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,229,256,276,244,211,214,207
0500000US53059,Skamania County,US_WA059,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,110,106,132,129,131,158,133
0500000US53059,Skamania County,US_WA059,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,32,2,0,12,14,30,18
0500000US53059,Skamania County,US_WA059,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,564,587,602,633,668,679,712,738,778,808
0500000US53061,Snohomish County,US_WA061,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,581081,584547,588464,592814,593911,585227,575337
0500000US53061,Snohomish County,US_WA061,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,18464,19628,20455,21789,23341,25598,26502
0500000US53061,Snohomish County,US_WA061,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,7229,7131,6978,6602,6990,7539,6688
0500000US53061,Snohomish County,US_WA061,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,70487,72850,76648,81138,85529,91692,95215
0500000US53061,Snohomish County,US_WA061,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,3338,3596,3892,4172,4141,3864,3348
0500000US53061,Snohomish County,US_WA061,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,62182,64909,67274,69528,71448,74579,77680,80238,84099,87201
0500000US53063,Spokane County,US_WA063,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,416039,419714,423299,427783,432894,435042,445065
0500000US53063,Spokane County,US_WA063,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,7974,7958,7548,7280,7769,8542,8966
0500000US53063,Spokane County,US_WA063,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,6355,6124,6377,6838,6290,5879,5679
0500000US53063,Spokane County,US_WA063,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,10684,10798,10522,10619,10946,10955,11199
0500000US53063,Spokane County,US_WA063,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,1925,2142,2359,2449,2735,3004,3171
0500000US53063,Spokane County,US_WA063,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,20382,21309,22238,23020,23851,24995,26192,27416,29175,31363
0500000US53077,Yakima County,US_WA077,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,190038,191427,190920,192159,190283,177792,164155
0500000US53077,Yakima County,US_WA077,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,1994,2341,2299,2543,2814,2477,2380
0500000US53077,Yakima County,US_WA077,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,9247,9656,9771,10132,9645,8541,8132
0500000US53077,Yakima County,US_WA077,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,2530,2567,2444,2226,2400,2282,2440
0500000US53077,Yakima County,US_WA077,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,140,165,164,164,278,1141,1121
0500000US53077,Yakima County,US_WA077,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,107632,110701,113254,115178,116489,118486,120385,121512,123418,127649
0500000US53075,Whitman County,US_WA075,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,34111,34399,34219,34872,35432,34830,33368
0500000US53075,Whitman County,US_WA075,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,705,711,743,863,837,742,771
0500000US53075,Whitman County,US_WA075,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,269,230,297,232,170,175,234
0500000US53075,Whitman County,US_WA075,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,3222,3348,3331,3555,3565,3490,3349
0500000US53075,Whitman County,US_WA075,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,105,34,64,91,81,58,52
0500000US53075,Whitman County,US_WA075,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,1651,1681,1895,1764,1736,1896,1865,2049,2224,2242
0500000US53073,Whatcom County,US_WA073,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,172194,172571,174427,177580,179664,179552,178285
0500000US53073,Whatcom County,US_WA073,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,1749,1957,1998,2094,2102,2097,1994
0500000US53073,Whatcom County,US_WA073,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,5766,6277,6446,6343,6217,5570,5194
0500000US53073,Whatcom County,US_WA073,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,7988,8264,8510,8852,8955,8852,9275
0500000US53073,Whatcom County,US_WA073,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,631,596,587,599,649,552,574
0500000US53073,Whatcom County,US_WA073,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,15599,16278,16938,17649,18154,18809,19554,20368,21267,21714
0500000US53071,Walla Walla County,US_WA071,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,47952,47451,47515,47532,47381,46806,46955
0500000US53071,Walla Walla County,US_WA071,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,322,317,324,539,602,592,638
0500000US53071,Walla Walla County,US_WA071,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,435,466,505,396,352,332,755
0500000US53071,Walla Walla County,US_WA071,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,772,808,711,744,683,841,720
0500000US53071,Walla Walla County,US_WA071,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,76,88,12,56,47,27,34
0500000US53071,Walla Walla County,US_WA071,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,10650,10966,11241,11552,11695,11793,11835,11944,12206,12699
0500000US53065,Stevens County,US_WA065,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,38453,38513,38661,38903,39408,40008,40324
0500000US53065,Stevens County,US_WA065,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,212,199,199,204,191,193,163
0500000US53065,Stevens County,US_WA065,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,2168,1987,1982,2133,2150,2014,2180
0500000US53065,Stevens County,US_WA065,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,262,309,302,284,285,332,295
0500000US53065,Stevens County,US_WA065,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,0,15,18,22,55,90,80
0500000US53065,Stevens County,US_WA065,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,1097,1162,1251,1288,1348,1523,1581,1623,1683,1778
0500000US53067,Thurston County,US_WA067,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,214062,216798,218573,221881,225501,223987,223260
0500000US53067,Thurston County,US_WA067,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,7266,7669,7708,8076,8455,8152,8242
0500000US53067,Thurston County,US_WA067,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,3812,3902,3878,3797,3655,3262,3145
0500000US53067,Thurston County,US_WA067,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,15205,15064,15216,15606,15658,16244,16590
0500000US53067,Thurston County,US_WA067,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,2342,2278,2211,2337,2220,2526,2665
