Location,Location Name,Location - RegionId,Indicator,Indicator Name,Indicator - Reference Name,Measure,Measure Name,Measure - Units,Scale,Units,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0500000US53035,Kitsap County,US_WA035,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,3038,2884,2733,2568,2434,2539,2640
0500000US53035,Kitsap County,US_WA035,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,11958,11730,12368,12490,12692,12986,13234
0500000US53035,Kitsap County,US_WA035,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,1989,2008,2045,2106,2131,2384,2577
0500000US53035,Kitsap County,US_WA035,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,15133,15890,16697,17469,17702,18271,19045,19669,20471,21413
0500000US53033,King County,US_WA033,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,1375306,1380382,1385710,1387695,1387143,1365751,1339368
0500000US53033,King County,US_WA033,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,124425,125512,128269,133764,139201,142665,141956
0500000US53033,King County,US_WA033,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,14764,14064,13769,13132,12514,13028,13078
0500000US53033,King County,US_WA033,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,314582,327956,346410,366152,381217,402700,414791
0500000US53033,King County,US_WA033,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,15798,15933,16188,16449,16680,16696,16134
0500000US53033,King County,US_WA033,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,168813,175260,181124,186716,191102,197507,203905,209087,215039,220773
0500000US53031,Jefferson County,US_WA031,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,26658,27102,27347,27716,27944,28172,28641
0500000US53031,Jefferson County,US_WA031,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,154,190,87,158,100,125,161
0500000US53031,Jefferson County,US_WA031,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,709,550,551,610,587,486,477
0500000US53031,Jefferson County,US_WA031,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,473,455,524,511,473,485,474
0500000US53031,Jefferson County,US_WA031,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,13,10,68,30,44,19,165
0500000US53031,Jefferson County,US_WA031,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,810,840,889,957,938,934,991,1047,1133,1203
0500000US53029,Island County,US_WA029,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,65676,66668,66163,67438,68063,68199,68942
0500000US53029,Island County,US_WA029,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,2080,2148,2255,2231,2157,1920,2009
0500000US53029,Island County,US_WA029,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,754,830,972,850,840,906,759
0500000US53029,Island County,US_WA029,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,3644,3555,3599,3708,3998,3868,3872
0500000US53029,Island County,US_WA029,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,398,374,278,298,316,327,325
0500000US53029,Island County,US_WA029,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,4368,4571,4796,4993,5100,5344,5739,5988,6423,6359
0500000US53027,Grays Harbor County,US_WA027,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,60036,60261,60589,60994,61394,61309,61114
0500000US53027,Grays Harbor County,US_WA027,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,401,246,149,238,300,251,299
0500000US53027,Grays Harbor County,US_WA027,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,3044,3205,3262,3094,2975,2957,2586
0500000US53027,Grays Harbor County,US_WA027,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,1034,1069,1037,1014,1036,939,935
0500000US53027,Grays Harbor County,US_WA027,S1701_C01_017,Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,KN.M2,"Total, Estimate",Number,units,Number,,,,253,236,207,197,187,180,196
0500000US53027,Grays Harbor County,US_WA027,S1701_C01_020,Hispanic or Latino origin (of any race),Hispanic or Latino origin (of any race),KN.M2,"Total, Estimate",Number,units,Number,5966,6153,6248,6507,6509,6701,6791,6911,7296,7627
0500000US53025,Grant County,US_WA025,S1701_C01_013,White alone,RACE AND HISPANIC OR LATINO ORIGIN!!White alone,KN.M2,"Total, Estimate",Number,units,Number,,,,64515,64500,64132,66043,64946,62632,61589
0500000US53025,Grant County,US_WA025,S1701_C01_014,Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,KN.M2,"Total, Estimate",Number,units,Number,,,,657,638,622,642,798,994,960
0500000US53025,Grant County,US_WA025,S1701_C01_015,American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,KN.M2,"Total, Estimate",Number,units,Number,,,,1042,1009,1112,1090,1116,1295,1566
0500000US53025,Grant County,US_WA025,S1701_C01_016,Asian alone,RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,KN.M2,"Total, Estimate",Number,units,Number,,,,923,908,1007,958,923,895,959
