Location,County,Location - RegionId,Indicator,Indicator Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0500000US53049,Pacific County,US_WA049,S1701_C01_012,Female,10357,10276,10243,10222,10326,10438,10591,10733,11054,11458
0500000US53051,Pend Oreille County,US_WA051,S1701_C01_011,Male,6553,6530,6565,6583,6597,6554,6610,6626,6839,6751
0500000US53051,Pend Oreille County,US_WA051,S1701_C01_012,Female,6287,6273,6258,6241,6265,6371,6469,6580,6607,6421
0500000US53053,Pierce County,US_WA053,S1701_C01_011,Male,383223,387731,392724,399285,404409,411126,419023,427658,434744,446033
0500000US53053,Pierce County,US_WA053,S1701_C01_012,Female,395295,398789,401884,405654,411760,417394,424758,432341,439625,446202
0500000US53055,San Juan County,US_WA055,S1701_C01_011,Male,7606,7582,7555,7572,7637,7709,7844,7973,8059,8500
0500000US53055,San Juan County,US_WA055,S1701_C01_012,Female,7963,8027,8094,8183,8191,8284,8382,8580,8644,8919
0500000US53057,Skagit County,US_WA057,S1701_C01_011,Male,57496,57662,57900,58196,58684,59281,60599,61126,62059,62772
0500000US53057,Skagit County,US_WA057,S1701_C01_012,Female,58301,58443,58782,59352,60010,60730,61745,62530,63552,63694
0500000US53059,Skamania County,US_WA059,S1701_C01_011,Male,5488,5611,5623,5614,5631,5748,5782,5825,5836,5969
0500000US53059,Skamania County,US_WA059,S1701_C01_012,Female,5469,5418,5480,5564,5552,5606,5709,5798,5946,5906
0500000US53061,Snohomish County,US_WA061,S1701_C01_011,Male,350412,356025,361735,367835,373688,380343,387238,392597,399071,405830
0500000US53061,Snohomish County,US_WA061,S1701_C01_012,Female,354091,358853,363460,368316,374677,381354,388518,394572,401311,403180
0500000US53063,Spokane County,US_WA063,S1701_C01_011,Male,224228,225823,227335,229337,231608,234210,238125,241850,245506,255798
0500000US53063,Spokane County,US_WA063,S1701_C01_012,Female,232069,233502,234821,236416,239275,241855,245352,249144,252838,260744
0500000US53077,Yakima County,US_WA077,S1701_C01_011,Male,118897,120129,120780,121136,121272,121756,122311,122501,122762,125587
0500000US53077,Yakima County,US_WA077,S1701_C01_012,Female,119271,120422,121540,121944,122432,122679,123178,123307,124181,125835
0500000US53075,Whitman County,US_WA075,S1701_C01_011,Male,20177,20124,20376,20803,20954,21083,21476,22155,22148,21704
0500000US53075,Whitman County,US_WA075,S1701_C01_012,Female,18773,19046,19181,19459,19836,19732,20194,20140,20402,19463
0500000US53073,Whatcom County,US_WA073,S1701_C01_011,Male,97580,98555,99332,100246,101393,102941,104748,106616,108265,109050
0500000US53073,Whatcom County,US_WA073,S1701_C01_012,Female,98795,99472,100126,101337,102777,104364,106818,108939,110535,109933
0500000US53071,Walla Walla County,US_WA071,S1701_C01_011,Male,26783,26813,26739,26453,26566,26642,26857,26862,27237,27913
0500000US53071,Walla Walla County,US_WA071,S1701_C01_012,Female,27127,27355,27557,27864,27882,27999,28262,28410,28566,29288
0500000US53065,Stevens County,US_WA065,S1701_C01_011,Male,21425,21550,21569,21667,21680,21663,21731,21980,22233,22782
0500000US53065,Stevens County,US_WA065,S1701_C01_012,Female,21427,21346,21454,21456,21620,21780,22043,22194,22454,22767
0500000US53067,Thurston County,US_WA067,S1701_C01_011,Male,120953,122891,124901,126669,128196,129796,132038,134636,137169,141018
0500000US53067,Thurston County,US_WA067,S1701_C01_012,Female,128013,129798,130866,132385,134266,136178,138951,141482,143914,146011
0500000US53069,Wahkiakum County,US_WA069,S1701_C01_011,Male,1940,1867,1902,1914,1934,1925,1969,1994,2078,2149
0500000US53069,Wahkiakum County,US_WA069,S1701_C01_012,Female,1952,2010,1999,2032,2047,2103,2165,2226,2195,2183
