Location,County,Location - RegionId,Indicator,Indicator Name,Indicator - Reference Name,Measure,Measure Name,Measure - Units,Scale,Units,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0500000US53005,Benton County,US_WA005,S1701_C01_005,Related children of householder under 18 years,AGE!!Under 18 years!!Related children of householder under 18 years,KN.M2,"Total, Estimate",Number,units,Number,46137,47126,47940,48819,49671,50314,51163,51879,52424,53475
0500000US53005,Benton County,US_WA005,S1701_C01_006,18 to 64 years,AGE!!18 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,106336,108077,109384,110359,111017,112335,113732,115067,116521,118603
0500000US53005,Benton County,US_WA005,S1701_C01_007,18 to 34 years,AGE!!18 to 64 years!!18 to 34 years,KN.M2,"Total, Estimate",Number,units,Number,,,,41083,41394,41984,42567,43080,43862,44449
0500000US53005,Benton County,US_WA005,S1701_C01_008,35 to 64 years,AGE!!18 to 64 years!!35 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,,,,69276,69623,70351,71165,71987,72659,74154
0500000US53005,Benton County,US_WA005,S1701_C01_009,60 years and over,AGE!!60 years and over,KN.M2,"Total, Estimate",Number,units,Number,,,,34819,36269,37504,39174,40309,41846,42400
0500000US53005,Benton County,US_WA005,S1701_C01_010,65 years and over,AGE!!65 years and over,KN.M2,"Total, Estimate",Number,units,Number,20480,21354,22447,23512,24776,25840,27159,28373,29632,30240
0500000US53035,Kitsap County,US_WA035,S1701_C01_002,Under 18 years,AGE!!Under 18 years,KN.M2,"Total, Estimate",Number,units,Number,54835,54280,53507,53139,53145,52956,53120,53353,53484,54273
0500000US53035,Kitsap County,US_WA035,S1701_C01_003,Under 5 years,AGE!!Under 18 years!!Under 5 years,KN.M2,"Total, Estimate",Number,units,Number,,,,14278,14468,14495,14739,14968,15067,14922
0500000US53035,Kitsap County,US_WA035,S1701_C01_004,5 to 17 years,AGE!!Under 18 years!!5 to 17 years,KN.M2,"Total, Estimate",Number,units,Number,,,,38861,38677,38461,38381,38385,38417,39351
0500000US53035,Kitsap County,US_WA035,S1701_C01_005,Related children of householder under 18 years,AGE!!Under 18 years!!Related children of householder under 18 years,KN.M2,"Total, Estimate",Number,units,Number,54153,53679,52971,52664,52729,52641,52797,53103,53157,53862
0500000US53035,Kitsap County,US_WA035,S1701_C01_006,18 to 64 years,AGE!!18 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,156792,156763,156523,156449,156848,157023,158449,158493,159016,161680
0500000US53035,Kitsap County,US_WA035,S1701_C01_007,18 to 34 years,AGE!!18 to 64 years!!18 to 34 years,KN.M2,"Total, Estimate",Number,units,Number,,,,56145,57201,57634,58867,58660,59111,59557
0500000US53035,Kitsap County,US_WA035,S1701_C01_008,35 to 64 years,AGE!!18 to 64 years!!35 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,,,,100304,99647,99389,99582,99833,99905,102123
0500000US53035,Kitsap County,US_WA035,S1701_C01_009,60 years and over,AGE!!60 years and over,KN.M2,"Total, Estimate",Number,units,Number,,,,54673,56670,58544,60977,63152,65298,67122
0500000US53035,Kitsap County,US_WA035,S1701_C01_010,65 years and over,AGE!!65 years and over,KN.M2,"Total, Estimate",Number,units,Number,32650,34170,35939,37953,40113,41535,43434,45426,47350,48523
0500000US53033,King County,US_WA033,S1701_C01_002,Under 18 years,AGE!!Under 18 years,KN.M2,"Total, Estimate",Number,units,Number,407315,413432,418459,423552,428613,433833,439984,442880,444087,446928
0500000US53033,King County,US_WA033,S1701_C01_003,Under 5 years,AGE!!Under 18 years!!Under 5 years,KN.M2,"Total, Estimate",Number,units,Number,,,,124552,125302,125655,127178,126738,126189,123283
